Date,TV_Spend,Social_Spend,Search_Spend,Seasonality_Index,Revenue
2023-01-01,5000,2000,1000,0.8,12500
2023-01-08,5200,2100,1100,0.8,13100
2023-01-15,4800,2200,1050,0.85,12900
2023-01-22,4900,2500,1200,0.9,14200
2023-01-29,5100,2600,1300,0.95,15100
2023-02-05,5300,3000,1400,1.0,16500
2023-02-12,5500,3200,1500,1.1,17800
2023-02-19,5400,3100,1450,01.05,17200
2023-02-26,5200,2900,1400,1.0,16100
2023-03-05,5000,2800,1350,0.95,15500
2023-03-12,4800,2500,1300,0.9,14300
2023-03-19,4900,2400,1250,0.9,14000
2023-03-26,5100,2600,1300,0.95,14900
2023-04-02,5500,3500,1600,1.1,18500
2023-04-09,5800,3700,1700,1.2,20100
2023-04-16,6000,4000,1800,1.25,21500
2023-04-23,5900,3900,1750,1.2,20800
2023-04-30,5700,3600,1650,1.15,19500
2023-05-07,5500,3400,1600,1.1,18200
2023-05-14,5300,3200,1500,01.05,17000
